intercept,village_dist,tourism_dist,river_dist,woodycover,nitrogen_dist,runoff,fire_freq,slope,sodium_dist,water_dist
1,50830.80078,0.53086649,8994.574289,3.520512877,9832.982178,10.70195,1.35,0.016315376,28880.86313,33301.65234
1,49994.39209,0.48339862,9535.65863,1.663695072,9256.756592,11.30976,0.526315789,0.016646316,28490.85265,34058.77344
1,49022.27206,0.43593075,9843.696106,0.06103642,8642.021484,13.697425,0.8,0.006881283,27596.73141,35148.22266
1,48068.42871,0.34642031,10399.50404,-0.131797202,7866.707031,13.99275,0.684210526,0.003661423,26765.74251,36235.34375
1,47135.69214,0.31642676,11016.99927,-0.195336501,7035.793213,13.47374,0.25,0.003458507,25939.3584,38288.37891
1,46310.55542,0.30185037,11658.74377,-0.187319196,6057.019043,13.39029,0.105263158,0.003823658,25177.71312,39824.61719
1,45381.18018,0.29046856,12382.20972,-0.183444222,5117.641113,13.39029,0.473684211,0.005664559,24410.38161,39824.61719
1,44506.76953,0.29999929,12085.81055,-0.189761951,4178.131185,13.536135,0,0.005723927,23724.69959,40216.25
1,43627.21536,0.25855595,11058.69299,-0.156882156,3309.935486,13.103565,0,0.005596712,23021.15007,41312.83105
1,42769.91992,0.26899333,10173.79462,-0.162028414,2372.550781,12.18291,0,0.00613975,22360.24484,42011.90234
1,41972.12305,0.26439856,9351.961792,-0.152184423,1479.040497,12.00794,0,0.007645313,21742.90688,42801.86719
1,41058.25537,0.25916209,8464.173981,0.045331785,551.7767029,12.13688,0,0.006538152,21057.92415,44204.07031
1,40122.34521,0.25465819,7731.663118,0.144089888,0,12.19124,0,0.006415546,20367.85862,45000
1,39258.61548,0.25189495,6966.73742,0.242847992,0,12.5744,0,0.004586543,19723.3312,46400.42969
1,38361.70519,0.26353534,6268.315796,0.209398034,0,12.17675,0,0.00364014,19140.58758,47201.69531
1,37528.41536,0.23013047,5730.96849,0.233243023,0,13.20511,0,0.003635737,18547.75944,47801.67188
1,36699.78296,0.24174911,5106.792725,0.239517812,0,12.24185,0,0.005788726,18039.71144,49406.47656
1,35749.2356,0.23883654,4464.09533,0.218996368,0,11.18607,0,0.007757938,17614.42912,50000
1,34960.85889,0.23617081,3780.153174,0.258170151,0,11.34354,0,0.00769835,17241.58512,50803.54297
1,34127.61489,0.24688577,3249.427338,0.23860621,0,10.44144,0,0.009902416,16841.63544,52201.53125
1,33393.17383,0.22942627,2857.173096,0.247477737,0,10.24087,0,0.010213673,15995.49797,53009.43359
1,32781.69466,0.21407094,2172.685944,0.232443905,0,10.8245,0,0.008681619,15117.09285,53823.78516
1,32093.15568,0.24442931,1522.275212,0.233522445,0,10.37371,0,0.006465964,14177.85092,55217.75
1,31474.62331,0.21749613,1099.187116,0.28675825,0,9.951855,0,0.004667782,13285.48857,56035.70313
1,30814.44861,0.23450925,962.9286995,0.267249988,0,10.33772,0,0.010317228,12403.95727,56859.47656
1,30248.00781,0.25201489,697.2678947,0.608364509,0,11.99552,0,0.00856379,11527.88703,59640.58984
1,29655.79896,0.22557186,491.0715637,1.360947269,0,11.99552,0,0.007186973,10641.31821,59640.58984
1,29217.72998,0.24365,234.375,1.891438295,0,10.53469,0,0.010701834,9823.273125,60464.86719
1,28617.99841,0.24851147,341.8035422,3.684711186,0,10.54858,0,0.010701834,8958.056925,60879.61914
1,37506.73854,1.0642947,1646.438347,0.229312349,14575.83374,12.92018,2.684210526,0.008793486,9338.712077,6708.204102
1,38491.57788,1.26510722,1944.443555,0.251771221,14556.16276,13.15767,2.85,0.010553443,9354.48668,7071.067871
1,39357.46509,1.16462411,2337.194109,0.138045808,14869.43203,13.15767,3.157894737,0.008486539,9548.61591,7071.067871
1,40357.77964,0.85171356,2318.378978,0.162198467,15450.24967,13.15767,4,0.010267165,10091.91056,7071.067871
1,41260.0708,0.60611563,2038.927165,0.065433286,16212.48486,13.17122,4.222222222,0.007857209,10779.20324,6403.124023
1,41729.82422,0.53352134,2258.50354,0.031917625,17024.83529,13.37593,5,0.002773063,11608.14209,5830.95166
1,42575.99438,0.48979249,2423.354225,0.053612634,17722.8668,12.86288,5.1,0.002773063,12462.99992,5385.165039
1,43438.58915,0.49262561,2160.832092,0.148974167,18556.66992,12.28765,5.25,0.006563186,13272.08377,6082.762695
1,44290.8079,0.47171438,1893.385651,0.173269902,18955.62646,12.44125,3.75,0.006567503,13904.27847,6000
1,44993.67236,0.41541198,2048.370378,0.16003914,19031.22461,11.47864,4.894736842,0.006567503,13859.51453,7000
1,45899.05729,0.37325329,1405.770981,0.253371781,19677.10889,11.55303,4.555555556,0.013146791,14682.44316,8000
1,46535.91235,0.37924738,2056.060497,0.301253258,19357.16064,11.37933,4.210526316,0.013593403,14602.84901,8000
1,47576.61084,0.35998665,2399.93351,0.138697329,19903.25781,11.36378,3,0.008082896,15328.52905,9000
1,48412.40123,0.30382806,2512.233782,0.185105855,20812.04375,11.32023,2.944444444,0.008390411,16146.44535,10000
1,49248.32146,0.35715628,2847.440414,0.131827527,21602.29883,11.44466,2.85,0.007150559,17100.41839,10049.87598
1,50009.65495,0.36621923,2829.229602,0.109208203,22100,11.97026,2.45,0.006206484,17639.915,11045.36133
1,50313.55262,0.34135499,1878.060954,0.242602041,21301.1625,11.392455,2.411764706,0.007882982,17067.03492,12020.94165
1,51201.61466,0.33049384,2388.778612,0.14373553,22103.40977,11.27071,3.15,0.009840447,18014.42578,13038.40527
1,51985.06615,0.28322787,2566.72377,0.031460388,23013.67285,11.64436,3.5,0.013131201,18970.3457,13341.66406
1,53023.69775,0.29266098,2535.286282,0.154587665,23931.4293,11.64436,2.95,0.009952554,19889.95451,13341.66406
1,53544.7251,0.29136591,2767.827134,0.048545723,24782.80664,11.04883,3.315789474,0.007489687,20829.05592,13601.4707
1,53728.17119,0.31039199,2791.943015,0.114549591,25681.24219,12.41367,5,0.007489687,21586.75188,13928.38867
1,53538.87134,0.29346062,2427.282768,0.100796022,26506.60273,11.852135,5.166666667,0.008244986,22331.51424,14123.10498
1,52777.63892,0.29521795,2132.13685,0.171267071,27333.33333,11.2906,4.25,0.009130788,22924.27938,14317.82129
1,51755.53369,0.29808566,2213.9875,0.56832574,28250,11.34369,4.25,0.00702055,23815.00211,14764.82324
1,50899.53099,0.28239751,1536.519371,0.766855074,29100,11.42868,4.421052632,0.004463307,24582.86971,13601.4707
1,50084.25195,0.30793466,564.2493358,0.965384408,30000,11.78942,4,0.005547578,24812.63922,14212.66992
1,49034.75345,0.34122351,267.5866659,1.038518445,31000,11.63023,5.45,0.005198965,24076.60052,16401.21875
1,48305.14771,0.33543692,878.5964355,0.709815949,31750.97656,10.26872,5.65,0.008739213,23542.92015,17691.80664
1,47424.56665,0.36680792,851.0482178,0.762835789,32877.84131,10.26872,4.45,0.007935137,23081.36163,17691.80664
1,46866.56226,0.40878745,1080.501851,0.757333944,33354.54557,10.953695,3.85,0.007678787,22933.24711,18038.29102
1,46417.27551,0.49985874,1406.041612,0.802623965,33529.00098,11.94358,4.888888889,0.008174669,22851.7054,19104.97266
1,45620.93677,0.61480447,1209.400464,0.802598613,32597.54648,11.29528,5.263157895,0.008174669,22591.14827,19798.99023
1,44888.42882,0.95785898,1259.250064,0.872143647,31998.10091,10.45429,6.142857143,0.008758204,22346.62883,21213.20313
1,44394.11049,0.62905348,1677.346362,1.333142414,31150.44141,11.42072,6.894736842,0.007369087,22318.86095,21926.01172
1,43789.41309,0.54438223,1841.247638,1.091639396,30202.44238,12.66142,6.55,0.0075073,22286.81578,22627.41797
1,43128.30493,0.43954622,2017.254069,1.049609953,29431.06348,11.08006,7.105263158,0.009710078,22124.3643,23693.43262
1,42362.86743,0.37674439,2196.941504,1.118093114,28674.02539,10.68775,5.4,0.011221207,21964.37375,24758.83594
1,41371.6272,0.34574114,1569.992844,1.292438564,28859.0319,10.00444,6.526315789,0.010163119,21217.75273,25495.09766
1,40495.34352,0.34684389,867.9797395,0.970303843,28715.42344,12.1991,6.894736842,0.009360073,20458.16469,26400.75781
1,39447.39591,0.31743225,219.7577362,1.817175332,28340.56299,12.1991,2.904761905,0.006747282,19649.24117,26400.75781
1,38966.25317,0.27656592,391.6327362,0.975431544,27297.7474,12.71479333,5.388888889,0.006376304,19846.57451,27341.44336
1,38592.33276,0.25993074,296.2096481,0.782798327,26341.77279,12.19671,6.111111111,0.006835109,20271.08688,27802.87695
1,38278.375,0.24472616,310.8269119,0.805279591,25518.37598,13.25407,5.3,0.004165602,20767.18234,29206.16406
1,37948.44312,0.23332199,387.3267212,0.517712657,24366.62207,11.78173,2.6,0.008188982,21191.37267,30221.66113
1,37527.55151,0.22378123,342.0769119,0.461952865,23402.72461,11.77664,2.736842105,0.008611527,21586.59383,31240.99805
1,37705.28828,0.20383466,319.700708,0.412796243,22653.64209,11.8824625,3.631578947,0.007470917,22426.10414,32278.97803
1,37849.92448,0.19923198,200,0.503506214,21657.01133,12.11551,3.157894737,0.002835798,23206.85588,33301.65234
1,38481.12454,0.22322472,256.4720879,0.614432375,21097.57861,12.11551,3.789473684,0.007102762,24161.47922,33301.65234
1,38334.88971,0.21796253,169.1941757,1.71316568,20181.13672,12.14541,1.666666667,0.003636642,24961.23969,33970.57422
1,37508.27995,0.18662108,896.8491478,0.925877377,19435.78711,10.4178,2,0.01439481,25268.22806,35383.61328
