V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12
3.5,3.5,5,3.5,2.5,2,2,9,7.5,7,6,7
4.5,4.5,5.5,5,4,3,2,4,3.5,3.5,3,3.5
10.5,10.5,12,10.5,8,6,4.5,7,5.5,5,4.5,5.5
13,13,14.5,13.5,11.5,9,7.5,8,7,6.5,5,5.5
8,8,8.5,8,6.5,6,5,5.5,4,3.5,2.5,3.5
4,4,5.5,4.5,4,3,2,6,5,5.5,4,4.5
11,11,12.5,12,11,9.5,8,6.5,5.5,5,4,5
3.5,3.5,4.5,4.5,3,2,2,4.5,4,4,3.5,4.5
13,13,14,14,11.5,9.5,8,5.5,4.5,5,4,4
3,3,3.5,4,3,2.5,1.5,5.5,4.5,4,3,3
8.5,8.5,9,9,6.5,3,2,6,5,4.5,3.5,4
4.5,4.5,5.5,4,3.5,3.5,2.5,5.5,4.5,3.5,3.5,2.5
4,4,6,5,3.5,3.5,2.5,5.5,4.5,4,3,3
8,8,7,8.5,6.5,2.5,3,6.5,5,7,6,5.5
4,4,4.5,4,2.5,3.5,1.5,4,3,3,2.5,3.5
1,1,1.5,1,1,1,1,1.5,1.5,1.5,2.5,2
1,1,1,1,1,1,1,1.5,1.5,2.5,3,2
1,1,1,1,1,1,1,2,2,2,2.5,2.5
1,1,2,1,1,1,1,2.5,2,1.5,2,2.5
2,2,3,2,1,1,1,1.5,1.5,2,2,2.5
1,1,2.5,1,1,1,1,1.5,1.5,1.5,2.5,3.5
1,1,2,1.5,2,1.5,1.5,1.5,1.5,1.5,2,2
2,2,3,2,1,1,1,1.5,1.5,2,2,2
1.5,1.5,2.5,1.5,1,1,1,2,1.5,2,2.5,2.5
1,1,1.5,1,1,1,1,2,1.5,1.5,1.5,2
1,1,1.5,1.5,1.5,1,1,1.5,1.5,2,2.5,2
2,2,3,1.5,1,1,1.5,2.5,2.5,2,2,2
1,1,2,1,1,1,1,1.5,1.5,1.5,2,2
2,2,3,2.5,2,2,2,2.5,2.5,3,3,3
1.5,1.5,3,1.5,1.5,1.5,1.5,2.5,2.5,2,2.5,3
1,1,2,1,1,1,1,1.5,1.5,1.5,2.5,2.5
2,2,3.5,2,1.5,1,1,2,2,1.5,2,1.5
2,2,3.5,1.5,1,1,1,1,1,1.5,2,2
1.5,1.5,2.5,1.5,1,1,1,1,1,2,2.5,3
1,1,2,1,1.5,1,1,2,1.5,1,2,2.5
2,2,3,1.5,1,1,1,1.5,1.5,2,2.5,2.5
2,2,4,2,2,2,1.5,2,2,2.5,3.5,2.5
1,1,2,1,1,1,1.5,3,2,2.5,3,2.5
1.5,1.5,2.5,2.5,1.5,1.5,1.5,2,2,2,2,3
1.5,1.5,2.5,1.5,1,1,1,1.5,1.5,1.5,2,2
1,1,2,1.5,1.5,1,1,2,2,1.5,2,2.5
1,1,2,1,1,1,1,2,2.5,2,1,2
1,1,2,1,1,1,1,1,1,2,2,2
1,1,2,1.5,1.5,1.5,1.5,2.5,2.5,2,2,2.5
2,2,3,2.5,1.5,1.5,1.5,3.5,2.5,2.5,2,3
1.5,1.5,2.5,2,1.5,1,1,3,2.5,3.5,3,4
1.5,1.5,2.5,2,1.5,1.5,1,3,2,2.5,1.5,2
2.5,2.5,3.5,3,1.5,1,1.5,4,3,2.5,2,3
2.5,2.5,4,3,1.5,1,1,3.5,3.5,3,4,4
2,2,3,2.5,1.5,1,1,3.5,2.5,2.5,2,2.5
3.5,3.5,5,4.5,2,1.5,1.5,2.5,2,2,2.5,3
2,2,3.5,3,2,1.5,1.5,2.5,2,3,3,3.5
7.5,7.5,9.5,8,3.5,3,2.5,6,5,4.5,3.5,4.5
3.5,3.5,6,4.5,3,2.5,2,5,4,3,2.5,3
5,5,6.5,6,5,4.5,3,4.5,3.5,3,2,2
2.5,2.5,3.5,3,3,2,2,6,5,4.5,3,3
1.5,1.5,3,2,1.5,1.5,1.5,4,3.5,3.5,2.5,3
2,2,3.5,2.5,1.5,1,1,4,3.5,4,3,4
1.5,1.5,2.5,2,1.5,6.5,6,5,4,3.5,2.5,2.5
4,4,5.5,4.5,3,2,1.5,17.5,15.5,14.5,12.5,11.5
4,4,6,5,3.5,2.5,2,4,3,2.5,2,3
8.5,8.5,10.5,10,8.5,6,4.5,8.5,7,6.5,5,6
10,10,12.5,12,10.5,9,7.5,7,6,5.5,4.5,4
4.5,4.5,6,5,4.5,3,2.5,6.5,5,4,3,3.5
6,6,8,6,4.5,3.5,2.5,5,4,3.5,2.5,2.5
1.5,1.5,3,2,1.5,1,1,3.5,3.5,3,2.5,2.5
1.5,1.5,2,1.5,1,1,1,3.5,3,3,2.5,2.5
1.5,1.5,2.5,1.5,1,1,1,4.5,3.5,3.5,3,2
2,2,3,2,1.5,1.5,1.5,4,3,3,2.5,2.5
1.5,1.5,2,1.5,1,1,1,2.5,2.5,2.5,2,2.5
2,2,3.5,2.5,1.5,1,1,3,2.5,2.5,1.5,1.5
5,5,12,6,9,6.5,5.5,7,7,8,9.5,11.5
13.5,13.5,13,14.5,13,10.5,8.5,7,6.5,7,7.5,10
13.5,13.5,10.5,15,13.5,11.5,9,8,7,7.5,8.5,10
20,20,10.5,21,19.5,16,14,13,11.5,12.5,10.5,13
13.5,13.5,11,14.5,13,10.5,8.5,7.5,6,6,4.5,6
20.5,20.5,10,22,20,16,12.5,11.5,10.5,9.5,8,8.5
16.5,16.5,10,18.5,16.5,14.5,12.5,12,10.5,9,7,8.5
13.5,13.5,12,15.5,13,10.5,8,7,6,4.5,3.5,5.5
25.5,25.5,11,25.5,24,21.5,20,19.5,18.5,18,16,16
15,15,11.5,16,14,12.5,11,11,9.5,8.5,7,8.5
20.5,20.5,8.5,23.5,21,18,15.5,14.5,13.5,13,12.5,14
28.5,28.5,13,30.5,28.5,26,24,22.5,20.5,18,17.5,19.5
20.5,20.5,9.5,22,18.5,15.5,13.5,12.5,11.5,9,8,9
27,27,16,27.5,25,22,20,19,17,15.5,14.5,14.5
25,25,9.5,27,24,21,18.5,18,16,15,13.5,12.5
25.5,25.5,14.5,27,24,20.5,18,17,15,13.5,14.5,14
15.5,15.5,6.5,18,15,12,9,8,7,6.5,7,9
21.5,21.5,11.5,23.5,21,18.5,17,16.5,15,12.5,14.5,17
10.5,10.5,12.5,11.5,10.5,9,8,8,7,6.5,7,9
12.5,12.5,18,12.5,11,9,7,6,5,4,4.5,6.5
14,14,13,14.5,12.5,10,8.5,8.5,7.5,7,7,8.5
13,13,10,14.5,12.5,10,7.5,7.5,7,7.5,8,9.5
5,5,9,6.5,5,4,3,3,2.5,3.5,4.5,6.5
9,9,11,11,8.5,6,5,4.5,3.5,3.5,3.5,5
14,14,7.5,16,14.5,11.5,10.5,10.5,9.5,9.5,10.5,11.5
9,9,7.5,9,8,6,6,4,4,5,7.5,9
2.5,2.5,5,2,2,2,2,7,6.5,7,9,9.5
9.5,9.5,6.5,9.5,8,6.5,6,12.5,12,11,12,12
13,13,9,13,12,10.5,9,8.5,8,7.5,9,10.5
8,8,7.5,8.5,7.5,6,4.5,3.5,3.5,3.5,4,5
20,20,9.5,21.5,19,16.5,13.5,4,3.5,3.5,4.5,6
2.5,2.5,11.5,3.5,2.5,2,2,6.5,5,5.5,6.5,8.5
12.5,12.5,11,13.5,12,10.5,9,8,6.5,5.5,6.5,8.5
21.5,21.5,13.5,20,18,15,13,4.5,4,4,5,6.5
12,12,18.5,13,11.5,8,6.5,9.5,8.5,7,7.5,7.5
12,12,18,12.5,11.5,9.5,7,14.5,13,12,12,10.5
23.5,23.5,12.5,25,23,20,17.5,10.5,10,10.5,11,12
6,6,7,7.5,6.5,5.5,5,7,5.5,5.5,6.5,8.5
7,7,12.5,9,7,5.5,4,11,9.5,8.5,9.5,11.5
18,18,13,19,17.5,15.5,13,13.5,11.5,11.5,12,14
15.5,15.5,16,15.5,12.5,11,9,13,12,11,12.5,14.5
8.5,8.5,15.5,7.5,5.5,3.5,2.5,5.5,5,5,5.5,7.5
6.5,6.5,16,6,4.5,3,2.5,3.5,2.5,2.5,3.5,5
12,12,12,12.5,10.5,8.5,7,9,8,7.5,9,10
